window_id,sub_ID,anchor_date,audit_sub_age,audit_sub_sex,audit_sup_ID,future_actual_efficacy_mean_30d,diff_performance_mean_30d,absdiff_performance_mean_30d,diff_performance_std_30d,absdiff_performance_std_30d,diff_performance_trend_30d,absdiff_performance_trend_30d,diff_attendance_rate_30d,absdiff_attendance_rate_30d,diff_positive_behavior_count_30d,absdiff_positive_behavior_count_30d,diff_negative_behavior_count_30d,absdiff_negative_behavior_count_30d,discrepancy_index_z,behavior_information_loss,Linear_Regression_abs_prediction_divergence,Linear_Regression_error_degradation,Random_Forest_abs_prediction_divergence,Random_Forest_error_degradation,XGBoost_abs_prediction_divergence,XGBoost_error_degradation
98000001_2022-03-26,98000001,2022-03-26,40,F,98000216.0,0.8997222222222222,0.012149999999999994,0.012149999999999994,0.03397341322385472,0.03397341322385472,0.010229596412556219,0.010229596412556219,0.0,0.0,-1.0,1.0,0.0,0.0,-0.04305678173427569,1.0,0.007145755115810837,-0.007145755115810837,0.0024660799881587314,-0.0024660799881587314,0.007822215557098389,0.007822215557098389
98000002_2022-03-26,98000002,2022-03-26,61,F,98000216.0,0.3413,-0.02114285714285702,0.02114285714285702,-0.017170416432205793,0.017170416432205793,0.2625090851131655,0.2625090851131655,0.0,0.0,0.0,0.0,-1.0,1.0,1.0392528487817791,1.0,0.02136683607823897,-0.02136683607823897,0.031825450940569544,0.031825450940569544,0.040995121002197266,-0.040995121002197266
98000003_2022-03-26,98000003,2022-03-26,20,F,98000216.0,0.6967368421052632,-0.01319999999999999,0.01319999999999999,0.01798447135769579,0.01798447135769579,-0.006245400509482205,0.006245400509482205,0.0,0.0,0.0,0.0,0.0,0.0,-0.4703023654822953,0.0,0.010235584278918686,0.010235584278918686,0.03627759291015831,0.0007341550351506188,0.01692676544189453,-0.002598226647627877
98000004_2022-03-26,98000004,2022-03-26,18,F,98000216.0,0.437,-0.0007619047619047969,0.0007619047619047969,0.0021260859736011994,0.0021260859736011994,0.0839502709595155,0.0839502709595155,0.0,0.0,-1.0,1.0,0.0,0.0,-0.16577903295267324,1.0,0.003079631790857129,0.003079631790857129,0.00796532653264892,-0.00796532653264892,0.005263805389404297,-0.005263805389404297
98000005_2022-03-26,98000005,2022-03-26,59,F,98000216.0,0.5426,-0.028571428571428692,0.028571428571428692,-0.0280645435858764,0.0280645435858764,0.06693911380299651,0.06693911380299651,0.0,0.0,0.0,0.0,0.0,0.0,-0.06407979432378659,0.0,0.0163785036873364,0.0163785036873364,0.06256568117733857,0.06256568117733857,0.01233866810798645,0.01233866810798645
98000006_2022-03-26,98000006,2022-03-26,28,F,98000216.0,0.8355238095238097,0.00594736842105259,0.00594736842105259,0.0373240163794111,0.0373240163794111,-0.05068563549761862,0.05068563549761862,0.0,0.0,0.0,0.0,0.0,0.0,-0.2824536395453319,0.0,0.006029940726467342,-0.006029940726467342,0.0013823694814293352,0.0013823694814293352,0.01054239273071289,-0.01054239273071289
98000007_2022-03-26,98000007,2022-03-26,50,M,98000216.0,0.5004210526315789,-0.003190476190476188,0.003190476190476188,0.01508095390738809,0.01508095390738809,-0.047515141855275694,0.047515141855275694,0.0,0.0,0.0,0.0,0.0,0.0,-0.47376393481182016,0.0,0.006016750625214506,-0.006016750625214506,0.026629813637001065,-0.026629813637001065,0.007095932960510254,-0.007095932960510254
98000009_2022-03-26,98000009,2022-03-26,28,M,98000443.0,0.429952380952381,-0.03684210526315779,0.03684210526315779,-0.0421729320651551,0.0421729320651551,0.083153724247227,0.083153724247227,0.0,0.0,0.0,0.0,-1.0,1.0,0.8511820387876526,1.0,0.025108432513808454,-0.025108432513808454,0.07840128147386993,-0.07840128147386993,0.01627570390701294,-0.01627570390701294
98000010_2022-03-26,98000010,2022-03-26,29,M,98000443.0,0.5912857142857143,-0.016047619047618977,0.016047619047618977,0.0446932847840919,0.0446932847840919,0.07283583041122083,0.07283583041122083,0.0,0.0,0.0,0.0,0.0,0.0,-0.062138029716300315,0.0,0.013242868771608074,-0.013242868771608074,0.024515420960192325,-0.024515420960192325,0.004777789115905762,0.004777789115905762
98000011_2022-03-26,98000011,2022-03-26,46,M,98000443.0,0.6729999999999998,0.010649999999999937,0.010649999999999937,0.052912218185598714,0.052912218185598714,-0.026911451124163266,0.026911451124163266,0.0,0.0,0.0,0.0,-1.0,1.0,0.48926821644722507,1.0,0.011223900067354742,0.011223900067354742,0.018929911760124485,-0.018929911760124485,0.02931112051010132,0.02931112051010132
